,Вакансия,Ссылка
42,Аналитик,https://hh.ru/resume/1d5acdda0008d6a0580039ed1f4a7241334b35?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
43,BI Data Analyst,https://hh.ru/resume/9194d70c00071d4e1e0039ed1f734c34643667?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
44,Аналитик,https://hh.ru/resume/4c5085a1000823a0590039ed1f635865705254?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
45,Аналитик,https://hh.ru/resume/f24dd2e60005ba32eb0039ed1f30644e4c3377?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
46,Аналитик,https://hh.ru/resume/a0e311cd0002502f9c0039ed1f414778374b55?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
47,"Аналитик, консультант BI",https://hh.ru/resume/024dc7a600028048280039ed1f527452354854?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
48,Data Scientist,https://hh.ru/resume/e6e2c2c80007d0e5b60039ed1f306c30516e56?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
49,Аналитик,https://hh.ru/resume/f18b774d0008b08bab0039ed1f4c4253377279?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
50,Аналитик,https://hh.ru/resume/35716c300006efe52d0039ed1f625874784874?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
51,Аналитик,https://hh.ru/resume/22dc5aa900087f16270039ed1f787148554246?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
52,Аналитик,https://hh.ru/resume/926c105b00078c14a90039ed1f636947333368?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
53,Аналитик,https://hh.ru/resume/a75bf6df000313efb40039ed1f7243536e5839?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
54,Аналитик,https://hh.ru/resume/72b8564300014d074a0039ed1f756831684948?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
55,Аналитик,https://hh.ru/resume/896f72970007b085020039ed1f534747333353?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
56,Аналитик,https://hh.ru/resume/ae5a1a320004f4662e0039ed1f5a7061616b47?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
57,Аналитик,https://hh.ru/resume/5ce531e60003ac02f70039ed1f446e42787a73?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
58,Бизнес-аналитик,https://hh.ru/resume/9b086d580006f8282d0039ed1f315055486f69?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
59,"Бизнес-аналитик, Консультант SAP BI, BO",https://hh.ru/resume/583901bf0001b6a0b70039ed1f5245374c4e76?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
60,Аналитик,https://hh.ru/resume/bff5e3cb00082bd1680039ed1f413755416a67?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
61,Marketing analyst | Product analyst,https://hh.ru/resume/91822d54000583c8240039ed1f4e4b31566457?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
62,Аналитик,https://hh.ru/resume/55e4f7c200054af1bf0039ed1f7550766d564e?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
63,Аналитик,https://hh.ru/resume/9e457f8f0008214a290039ed1f414a61524a4f?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
64,BI-Developer,https://hh.ru/resume/e0b538d70005aaff930039ed1f4c54496d4a6d?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
65,"Аналитик data, Аналитик BI, Маркетолог аналитик",https://hh.ru/resume/b70f430b00047d4d140039ed1f705876413066?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
66,"Аналитик, аналитик данных, бизнес-аналитик, системный аналитик",https://hh.ru/resume/2e66019d0003e573c20039ed1f7a52316c4967?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
67,Data Scientist,https://hh.ru/resume/5222ff650007e1fae10039ed1f4c664641656f?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
